PF,num_test,modelDL,modelET,blast,hmm,protenn
PF04229,2,0.0,0.0,0.0,0.0,0.0
PF01025,1,0.0,0.0,0.0,0.0,0.0
PF12019,16,0.0,0.0,0.4375,0.25,0.0
PF12693,3,0.0,0.0,1.0,0.6666666666666667,0.33333333333333337
PF00043,1,1.0,0.0,1.0,1.0,0.0
PF09594,14,0.0,0.0,0.4285714285714286,0.0714285714285714,0.0
PF11351,6,0.0,0.0,0.5,0.0,0.0
PF04138,1,0.0,0.0,0.0,1.0,0.0
PF06386,2,0.0,0.0,0.0,0.0,0.0
PF13457,1,1.0,1.0,0.0,1.0,0.0
PF14323,1,0.0,0.0,0.0,0.0,0.0
PF16216,3,0.0,0.0,0.0,0.33333333333333337,0.0
PF06445,13,0.6153846153846154,1.0,0.6923076923076923,0.8461538461538461,0.0
PF12710,14,0.2142857142857143,0.3571428571428571,0.5,0.5,0.0
PF14518,24,0.0,0.0,0.33333333333333337,0.16666666666666663,0.0
PF10112,3,0.0,0.0,0.0,0.33333333333333337,0.0
PF01725,1,0.0,0.0,0.0,0.0,0.0
PF09378,6,0.33333333333333337,0.33333333333333337,1.0,1.0,0.5
PF12330,2,0.0,0.0,0.0,1.0,1.0
PF10394,1,0.0,0.0,0.0,0.0,0.0
PF02518,1,0.0,1.0,1.0,1.0,0.0
PF13581,1,1.0,1.0,1.0,1.0,0.0
PF13589,1,1.0,1.0,0.0,0.0,0.0
PF14932,10,0.0,0.0,0.30000000000000004,0.8,0.0
PF15003,1,1.0,0.0,0.0,1.0,1.0
PF14817,3,0.33333333333333337,0.0,0.0,0.0,0.0
PF14661,10,0.0,0.0,0.0,0.30000000000000004,0.0
PF06777,3,1.0,0.0,1.0,1.0,1.0
PF16591,1,0.0,0.0,0.0,0.0,0.0
PF12507,1,1.0,1.0,1.0,1.0,1.0
PF01966,2,1.0,0.5,1.0,0.5,0.5
PF11496,5,0.0,0.19999999999999996,0.0,0.4,1.0
PF15115,2,0.0,0.0,0.0,0.0,1.0
PF13023,6,1.0,0.0,1.0,0.8333333333333334,0.6666666666666667
PF12236,3,0.0,0.0,0.0,0.0,0.0
PF13646,4,0.25,0.5,0.75,1.0,0.25
PF13513,2,0.5,1.0,1.0,0.5,0.0
PF00632,1,0.0,0.0,0.0,0.0,0.0
PF09814,18,0.05555555555555558,0.05555555555555558,0.16666666666666663,0.16666666666666663,0.0
PF00271,2,0.0,0.5,0.0,0.0,0.0
PF12462,1,0.0,0.0,1.0,0.0,1.0
PF14214,5,0.0,0.0,0.8,0.0,0.19999999999999996
PF14479,6,0.0,0.0,0.0,0.33333333333333337,0.16666666666666663
PF02602,1,0.0,0.0,0.0,0.0,0.0
PF01814,24,0.0,0.0,0.9583333333333334,0.5416666666666667,0.0
PF01126,1,0.0,0.0,1.0,1.0,1.0
PF06969,1,0.0,0.0,1.0,1.0,0.0
PF07940,7,0.1428571428571429,0.0,0.1428571428571429,0.1428571428571429,0.5714285714285714
PF18734,17,0.05882352941176472,0.05882352941176472,0.2941176470588235,0.3529411764705882,0.05882352941176472
PF18728,10,0.0,0.0,0.09999999999999998,0.4,0.09999999999999998
PF18739,29,0.3448275862068966,0.0,0.4137931034482759,0.27586206896551724,0.3448275862068966
PF18730,15,0.0,0.0,0.8,0.4,0.19999999999999996
PF18737,7,1.0,0.1428571428571429,0.8571428571428572,0.1428571428571429,0.0
PF18735,46,0.021739130434782594,0.19565217391304346,0.34782608695652173,0.8260869565217391,0.021739130434782594
PF18731,3,1.0,0.33333333333333337,1.0,0.33333333333333337,0.0
PF18871,7,1.0,0.5714285714285714,0.7142857142857143,0.4285714285714286,0.2857142857142857
PF04793,1,0.0,1.0,0.0,1.0,0.0
PF02480,1,0.0,0.0,0.0,1.0,0.0
PF01528,2,0.0,0.0,0.0,0.0,0.0
PF01537,3,1.0,0.33333333333333337,1.0,0.0,0.6666666666666667
PF03361,1,1.0,1.0,1.0,0.0,0.0
PF04797,2,0.0,0.0,0.5,0.0,1.0
PF03326,1,1.0,1.0,0.0,0.0,0.0
PF04541,1,1.0,0.0,0.0,0.0,1.0
PF03044,3,0.0,0.33333333333333337,0.0,0.0,0.0
PF04559,5,1.0,0.8,0.6,0.0,0.0
PF01499,2,0.0,0.0,0.0,0.5,0.5
PF02718,2,0.5,1.0,0.0,0.0,0.0
PF05072,1,1.0,0.0,1.0,1.0,1.0
PF03362,1,1.0,1.0,1.0,0.0,1.0
PF03121,4,1.0,0.25,1.0,0.5,1.0
PF05459,3,1.0,0.6666666666666667,0.6666666666666667,0.0,1.0
PF01677,2,1.0,1.0,0.0,0.5,1.0
PF05784,1,1.0,1.0,1.0,0.0,1.0
PF01802,2,1.0,0.0,0.0,0.0,1.0
PF03327,2,1.0,1.0,1.0,0.0,0.5
PF00349,1,0.0,0.0,0.0,1.0,0.0
PF03727,1,0.0,0.0,0.0,1.0,0.0
PF06050,55,0.0,0.0,0.0,0.054545454545454564,0.018181818181818188
PF03129,1,0.0,0.0,1.0,1.0,0.0
PF12722,1,1.0,1.0,0.0,0.0,0.0
PF07804,5,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996
PF16927,10,0.0,0.0,0.0,0.0,0.09999999999999998
